dataset,delta,lambda,err
a1a,0.0,1.5106117353308364,0.9987594145948262
a1a,0.0,1.3138530501467138,0.9987594145948262
a1a,0.0,1.1427223799514368,0.9987594145948262
a1a,0.0,0.9938816502317818,0.9987594145948262
a1a,0.0,0.8644275740092088,0.9987594145948262
a1a,0.0,0.7518350203298194,0.9987594145948262
a1a,0.0,0.6539077590649812,0.9987594145948262
a1a,0.0,0.5687356212507972,0.9987594145948262
a1a,0.0,0.4946572393360863,0.9987594145948262
a1a,0.0,0.43022764055022716,0.9987594145948262
a1a,0.0,0.3741900612671623,0.9987594145948262
a1a,0.0,0.32545143257660164,0.9987594145948262
a1a,0.0,0.28306105888402805,0.9987594145948262
a1a,0.0,0.246192073644317,0.9987594145948262
a1a,0.0,0.21412531050454858,0.9987594145948262
a1a,0.0,0.1862352752465543,0.9818685070777987
a1a,0.0,0.16197794489793893,0.9376948388022753
a1a,0.0,0.14088015602106066,0.9045930963302469
a1a,0.0,0.12253037518795522,0.8798259585855107
a1a,0.0,0.10657067161010685,0.8513399038503886
a1a,0.0,0.09268973534119775,0.8213659150819608
a1a,0.0,0.08061680486591302,0.7992054908574346
a1a,0.0,0.07011638562636031,0.7831901903538075
a1a,0.0,0.06098365646569077,0.7713633236838232
a1a,0.0,0.05304047438702008,0.760409196396274
a1a,0.0,0.0461318996964848,0.7450912633593576
a1a,0.0,0.04012317374988128,0.7314306288620015
a1a,0.0,0.034897090350819254,0.7207201709829736
a1a,0.0,0.03035170952688772,0.7107999665185637
a1a,0.0,0.02639836908875527,0.7017016828206516
a1a,0.0,0.022959955185681016,0.6946239204280092
a1a,0.0,0.01996939812289507,0.688893236327236
a1a,0.0,0.017368364100265415,0.6840850093470144
a1a,0.0,0.015106117353308359,0.6795865440732505
a1a,0.0,0.013138530501467134,0.6757143849517087
a1a,0.0,0.011427223799514366,0.673253210774686
a1a,0.0,0.009938816502317817,0.6719155346850009
a1a,0.0,0.008644275740092088,0.6711540410275588
a1a,0.0,0.007518350203298194,0.6712758250836575
a1a,0.0,0.006539077590649814,0.6717889223739731
a1a,0.0,0.005687356212507973,0.6720330671712423
a1a,0.0,0.004946572393360864,0.6725521083002453
a1a,0.0,0.004302276405502273,0.6732716376804345
a1a,0.0,0.0037419006126716207,0.6747420210051899
a1a,0.0,0.003254514325766015,0.6764762862071283
a1a,0.0,0.0028306105888402794,0.678199992180461
a1a,0.0,0.0024619207364431693,0.6798537574893856
a1a,0.0,0.0021412531050454854,0.6815943601431209
a1a,0.0,0.0018623527524655426,0.683589727027637
a1a,0.0,0.0016197794489793893,0.6859034937064886
a1a,0.0,0.0014088015602106065,0.6893646160825178
a1a,0.0,0.0012253037518795522,0.6926742297866424
a1a,0.0,0.0010657067161010684,0.6956261460263667
a1a,0.0,0.0009268973534119775,0.6984370752942562
a1a,0.0,0.0008061680486591306,0.7008642684472297
a1a,0.0,0.0007011638562636034,0.7035727411692613
a1a,0.0,0.0006098365646569074,0.7062933797819907
a1a,0.0,0.0005304047438702005,0.7090330572641145
a1a,0.0,0.0004613189969648478,0.7116544563969716
a1a,0.0,0.0004012317374988126,0.7140295223158419
a1a,0.0,0.00034897090350819257,0.7163802725666434
a1a,0.0,0.0003035170952688775,0.7186363104728191
a1a,0.0,0.0002639836908875527,0.7208618895661325
a1a,0.0,0.00022959955185681,0.7229180870198205
a1a,0.0,0.00019969398122895069,0.724771204593555
a1a,0.0,0.00017368364100265406,0.7264310844917434
a1a,0.0,0.00015106117353308365,0.7279440288650125
a1a,0.0,0.0001313853050146713,0.7292587248174082
a1a,0.0,0.00011427223799514371,0.7304429269651448
a1a,0.0,9.938816502317812e-5,0.7314301967442912
a1a,0.0,8.644275740092091e-5,0.732353819513728
a1a,0.0,7.51835020329819e-5,0.7331452996654977
a1a,0.0,6.539077590649816e-5,0.7338524490531817
a1a,0.0,5.687356212507971e-5,0.734353454415069
a1a,0.0,4.946572393360858e-5,0.7350589802445934
a1a,0.0,4.302276405502271e-5,0.7355744552364509
a1a,0.0,3.7419006126716195e-5,0.735909258377234
a1a,0.0,3.2545143257660164e-5,0.7364023440424797
a1a,0.0,2.830610588840278e-5,0.7367269742341821
a1a,0.0,2.4619207364431706e-5,0.7370696288509574
a1a,0.0,2.1412531050454842e-5,0.737279122561042
a1a,0.0,1.8623527524655436e-5,0.737597319199878
a1a,0.0,1.6197794489793888e-5,0.7377641512163723
a1a,0.0,1.4088015602106073e-5,0.7379330161939579
a1a,0.0,1.2253037518795517e-5,0.7381176145650281
a1a,0.0,1.065706716101069e-5,0.7382433739945647
a1a,0.0,9.268973534119771e-6,0.7384041076884879
a1a,0.0,8.061680486591295e-6,0.7384892035371189
a1a,0.0,7.011638562636032e-6,0.7385888066638879
a1a,0.0,6.0983656465690715e-6,0.7386640075192078
a1a,0.0,5.304047438702008e-6,0.7387390847291144
a1a,0.0,4.613189969648476e-6,0.7388226159483033
a1a,0.0,4.012317374988128e-6,0.7388832418207447
a1a,0.0,3.489709035081924e-6,0.7389370978646534
a1a,0.0,3.035170952688773e-6,0.738983970067011
a1a,0.0,2.6398369088755256e-6,0.7390245732299467
a1a,0.0,2.2959955185681026e-6,0.7390601559042504
a1a,0.0,1.996939812289506e-6,0.7390917859233993
a1a,0.0,1.736836410026543e-6,0.7391201135976245
