alpha,dataset,delta,lambda,err,support_size
1,YearPredictionMSD,0.0,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.0,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.0,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.0,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.0,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.0,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.0,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.0,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.0,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.0,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.0,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.1,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.1,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.1,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.1,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.1,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.1,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.1,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.1,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.1,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.1,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.1,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.2,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.2,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.2,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.2,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.2,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.2,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.2,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.2,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.2,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.2,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.2,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.3,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.3,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.3,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.3,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.3,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.3,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.3,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.3,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.3,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.3,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.3,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.4,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.4,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.4,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.4,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.4,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.4,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.4,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.4,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.4,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.4,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.4,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.5,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.5,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.5,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.5,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.5,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.5,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.5,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.5,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.5,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.5,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.5,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.6,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.6,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.6,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.6,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.6,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.6,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.6,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.6,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.6,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.6,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.6,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.7,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.7,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.7,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.7,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.7,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.7,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.7,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.7,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.7,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.7,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.7,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.8,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.8,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.8,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.8,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.8,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.8,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.8,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.8,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.8,0.000630957344480193,0.7619523121640693,88.0
1,YearPredictionMSD,0.8,0.00025118864315095774,0.7619509994724192,90.0
1,YearPredictionMSD,0.8,9.999999999999992e-5,0.7619511959636928,90.0
1,YearPredictionMSD,0.9,1.0,0.999997950170697,0.0
1,YearPredictionMSD,0.9,0.3981071705534972,0.898757660592067,6.0
1,YearPredictionMSD,0.9,0.15848931924611132,0.81219133180926,24.0
1,YearPredictionMSD,0.9,0.0630957344480193,0.7788472743708016,43.0
1,YearPredictionMSD,0.9,0.025118864315095794,0.7659447121265717,69.0
1,YearPredictionMSD,0.9,0.009999999999999997,0.7626211853580557,77.0
1,YearPredictionMSD,0.9,0.0039810717055349725,0.7620610154610803,81.0
1,YearPredictionMSD,0.9,0.0015848931924611123,0.7619720975359865,85.0
1,YearPredictionMSD,0.9,0.000630957344480193,0.7619523121640693,88.0
