alpha,dataset,delta,lambda,err,support_size
1,covtype.binary,0.0,1.0,0.9999991325387079,0.0
1,covtype.binary,0.0,0.3981071705534973,0.9999991325387079,0.0
1,covtype.binary,0.0,0.15848931924611134,0.9999991325387079,0.0
1,covtype.binary,0.0,0.0630957344480193,0.9560711824316444,4.0
1,covtype.binary,0.0,0.02511886431509579,0.8261527120324611,9.0
1,covtype.binary,0.0,0.009999999999999998,0.7586443172258983,17.0
1,covtype.binary,0.0,0.0039810717055349725,0.7256029233683556,27.0
1,covtype.binary,0.0,0.0015848931924611128,0.7108286714578452,33.0
1,covtype.binary,0.0,0.0006309573444801926,0.7041349604588472,40.0
1,covtype.binary,0.0,0.0002511886431509578,0.7019226128584966,43.0
1,covtype.binary,0.0,9.999999999999994e-5,0.7015159631112069,47.0
1,covtype.binary,0.1,1.0,0.9999991325387079,0.0
1,covtype.binary,0.1,0.3981071705534973,0.9999991325387079,0.0
1,covtype.binary,0.1,0.15848931924611134,0.9999991325387079,0.0
1,covtype.binary,0.1,0.0630957344480193,0.9213261572356769,5.0
1,covtype.binary,0.1,0.02511886431509579,0.8093807012373287,11.0
1,covtype.binary,0.1,0.009999999999999998,0.7414121639284785,19.0
1,covtype.binary,0.1,0.0039810717055349725,0.7178616123364047,32.0
1,covtype.binary,0.1,0.0015848931924611128,0.7061714047177083,37.0
1,covtype.binary,0.1,0.0006309573444801926,0.7023041412019813,42.0
1,covtype.binary,0.1,0.0002511886431509578,0.7015806894306573,46.0
1,covtype.binary,0.1,9.999999999999994e-5,0.701396995311172,50.0
1,covtype.binary,0.2,1.0,0.9999991325387079,0.0
1,covtype.binary,0.2,0.3981071705534973,0.9999991325387079,0.0
1,covtype.binary,0.2,0.15848931924611134,0.9999991325387079,0.0
1,covtype.binary,0.2,0.0630957344480193,0.8863896785593243,5.0
1,covtype.binary,0.2,0.02511886431509579,0.7837912688769074,15.0
1,covtype.binary,0.2,0.009999999999999998,0.7314872005216441,22.0
1,covtype.binary,0.2,0.0039810717055349725,0.7108108625148281,36.0
1,covtype.binary,0.2,0.0015848931924611128,0.7032280364823464,41.0
