alpha,dataset,delta,lambda,err,support_size
1,rcv1_train.binary,0.0,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.0251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.015848931924611134,0.9999031112244829,0.0
1,rcv1_train.binary,0.0,0.01,0.9867311341637433,1.0
1,rcv1_train.binary,0.1,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.0251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.015848931924611134,0.9999031112244829,0.0
1,rcv1_train.binary,0.1,0.01,0.9867311341637433,1.0
1,rcv1_train.binary,0.2,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.0251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.015848931924611134,0.9999031112244829,0.0
1,rcv1_train.binary,0.2,0.01,0.9867311341637433,1.0
1,rcv1_train.binary,0.3,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.0251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.015848931924611134,0.9999031112244829,0.0
1,rcv1_train.binary,0.3,0.01,0.9867311341637433,1.0
1,rcv1_train.binary,0.4,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.0251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.015848931924611134,0.9999031112244829,0.0
1,rcv1_train.binary,0.4,0.01,0.9867311341637433,1.0
1,rcv1_train.binary,0.5,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.0251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.015848931924611134,0.9999031112244829,0.0
1,rcv1_train.binary,0.5,0.01,0.9867311341637433,1.0
1,rcv1_train.binary,0.6,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.0251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.015848931924611134,0.9999031112244829,0.0
1,rcv1_train.binary,0.6,0.01,0.9867311341637433,1.0
1,rcv1_train.binary,0.7,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.0251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.015848931924611134,0.9999031112244829,0.0
1,rcv1_train.binary,0.7,0.01,0.9867311341637433,1.0
1,rcv1_train.binary,0.8,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.8,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.8,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.8,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.8,0.15848931924611137,0.9999031112244829,0.0
1,rcv1_train.binary,0.8,0.1,0.9999031112244829,0.0
1,rcv1_train.binary,0.8,0.06309573444801932,0.9999031112244829,0.0
1,rcv1_train.binary,0.8,0.03981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.8,0.0251188643150958,0.9994807710627268,15.0
1,rcv1_train.binary,0.8,0.015848931924611134,0.9907080949149968,1463.0
1,rcv1_train.binary,0.8,0.01,1.0396565106720088,4782.0
1,rcv1_train.binary,0.9,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,0.9,0.6309573444801934,0.9999031112244829,0.0
1,rcv1_train.binary,0.9,0.3981071705534972,0.9999031112244829,0.0
1,rcv1_train.binary,0.9,0.251188643150958,0.9999031112244829,0.0
1,rcv1_train.binary,0.9,0.15848931924611137,0.9998949257146643,2.0
1,rcv1_train.binary,0.9,0.1,0.999947374430224,41.0
1,rcv1_train.binary,0.9,0.06309573444801932,0.9998746253002883,1134.0
1,rcv1_train.binary,0.9,0.03981071705534972,1.0474331178145866,4088.0
1,rcv1_train.binary,0.9,0.0251188643150958,1.1702354910326087,5376.0
1,rcv1_train.binary,0.9,0.015848931924611134,1.2937095443351476,6397.0
1,rcv1_train.binary,0.9,0.01,1.3757582253406984,7088.0
1,rcv1_train.binary,1.0,1.0,0.9999031112244829,0.0
1,rcv1_train.binary,1.0,0.6309573444801934,1.0001846253403672,4.0
