alpha,dataset,delta,lambda,err,support_size
1,real-sim,0.0,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.0,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.0,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.0,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.0,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.0,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.0,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.0,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.0,0.0251188643150958,0.9999724576951281,0.0
1,real-sim,0.0,0.015848931924611134,0.9999724576951281,0.0
1,real-sim,0.0,0.01,0.9999724576951281,0.0
1,real-sim,0.1,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.1,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.1,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.1,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.1,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.1,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.1,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.1,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.1,0.0251188643150958,0.9999724576951281,0.0
1,real-sim,0.1,0.015848931924611134,0.9999724576951281,0.0
1,real-sim,0.1,0.01,0.9999724576951281,0.0
1,real-sim,0.2,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.2,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.2,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.2,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.2,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.2,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.2,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.2,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.2,0.0251188643150958,0.9999724576951281,0.0
1,real-sim,0.2,0.015848931924611134,0.9999724576951281,0.0
1,real-sim,0.2,0.01,0.9999724576951281,0.0
1,real-sim,0.3,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.3,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.3,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.3,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.3,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.3,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.3,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.3,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.3,0.0251188643150958,0.9999724576951281,0.0
1,real-sim,0.3,0.015848931924611134,0.9999724576951281,0.0
1,real-sim,0.3,0.01,0.9999724576951281,0.0
1,real-sim,0.4,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.4,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.4,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.4,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.4,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.4,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.4,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.4,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.4,0.0251188643150958,0.9999724576951281,0.0
1,real-sim,0.4,0.015848931924611134,0.9999724576951281,0.0
1,real-sim,0.4,0.01,0.9999724576951281,0.0
1,real-sim,0.5,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.5,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.5,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.5,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.5,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.5,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.5,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.5,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.5,0.0251188643150958,0.9999724576951281,0.0
1,real-sim,0.5,0.015848931924611134,0.9999724576951281,0.0
1,real-sim,0.5,0.01,0.9999724576951281,0.0
1,real-sim,0.6,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.6,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.6,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.6,0.2511886431509579,0.9999724576951281,0.0
