alpha,dataset,response,method,delta,lambda,err,lo,hi
0,housing,continuous,ours,0.0,0.030735835848473263,0.2950723830865776,0.27782591719762184,0.3123188489755334
0,housing,continuous,std,NaN,0.025517430892623028,0.29622924049232546,0.27905894068857295,0.31339954029607797
0,housing,continuous,max_abs,NaN,0.003010990274518148,0.32656690709133374,0.30923017085780774,0.34390364332485973
0,housing,continuous,min_max,NaN,0.012030760394238858,0.33228221008964,0.3097693840306735,0.35479503614860647
0,housing,continuous,l1,NaN,0.00014583222808343117,0.7170269721321628,0.6989116129359507,0.7351423313283749
0,rhee2006,continuous,ours,0.02,0.0025284554534679665,0.1568602939287363,0.15067131124185382,0.16304927661561877
0,rhee2006,continuous,std,NaN,0.12334933606740635,0.1729130497260665,0.16521443100591093,0.18061166844622206
0,rhee2006,continuous,max_abs,NaN,0.002036766391576983,0.14792925427061865,0.143269405758338,0.1525891027828993
0,rhee2006,continuous,min_max,NaN,0.002036766391576983,0.14792925427061865,0.143269405758338,0.1525891027828993
0,rhee2006,continuous,l1,NaN,0.0007356385116261289,0.6240369785791894,0.6053656133898183,0.6427083437685605
0,a1a,binary,ours,0.1,0.027256990141072884,0.6364789220496975,0.6248744167818292,0.6480834273175657
0,a1a,binary,std,NaN,0.19183234681073338,0.6419110444075343,0.629603070334761,0.6542190184803076
0,a1a,binary,max_abs,NaN,0.013573999238423546,0.6343930151239358,0.6232680180751158,0.6455180121727557
0,a1a,binary,min_max,NaN,0.013573999238423546,0.6343930151239358,0.6232680180751158,0.6455180121727557
0,a1a,binary,l1,NaN,0.00010601581354051521,0.8224397545961817,0.8044234146010937,0.8404560945912697
0,w1a,binary,ours,0.04,0.0002845108246757815,0.6624631530089409,0.6318410346525873,0.6930852713652944
0,w1a,binary,std,NaN,0.04784409307892368,0.702290129198284,0.6782525203331027,0.7263277380634654
0,w1a,binary,max_abs,NaN,0.00017225635959219117,0.660868153340154,0.629794366006143,0.691941940674165
0,w1a,binary,min_max,NaN,0.00017225635959219117,0.660868153340154,0.629794366006143,0.691941940674165
0,w1a,binary,l1,NaN,0.0003919792409098031,0.7771451574118619,0.7295237057908841,0.8247666090328396
0,triazines,continuous,ours,0.44,0.04401635263643199,0.894011560206488,0.8460494919734748,0.9419736284395012
0,triazines,continuous,std,NaN,0.04401635263643199,0.9014102731975316,0.8530704268944999,0.9497501195005634
0,triazines,continuous,max_abs,NaN,0.015617283115581734,1.2801642802270587,1.1219363558055346,1.4383922046485829
0,triazines,continuous,min_max,NaN,0.017569443505029456,0.8769978702050859,0.8383791376814891,0.9156166027286827
0,triazines,continuous,l1,NaN,0.0002532000546568702,0.9297872086551642,0.8808469218512474,0.978727495459081
0,eunite2001,continuous,ours,0.16,0.003404657178402684,0.1793001154754854,0.16638465994077098,0.19221557101019984
0,eunite2001,continuous,std,NaN,0.02401918332940007,0.19306232254145994,0.17855834805773663,0.20756629702518326
0,eunite2001,continuous,max_abs,NaN,0.007079266424497808,0.3339819150178609,0.30154103167811025,0.36642279835761155
0,eunite2001,continuous,min_max,NaN,0.007072376179765272,0.2548691467577286,0.23002719555063403,0.2797110979648232
0,eunite2001,continuous,l1,NaN,0.0011990868840041035,0.8894129647606626,0.8657709003665823,0.9130550291547428
0,heart,binary,ours,0.34,0.23770842310492954,0.5128138798221674,0.4871579217934162,0.5384698378509186
0,heart,binary,std,NaN,0.26088470090496124,0.5133032380368704,0.48779807539601405,0.5388084006777267
0,heart,binary,max_abs,NaN,0.02210578984662029,0.5083813056394593,0.4841228083420829,0.5326398029368357
0,heart,binary,min_max,NaN,0.03769463797394999,0.5064905015244916,0.4822672255207811,0.530713777528202
